Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Graphcore,2.8,Aug-24,Semiconductors,United Kingdom,
Groq,2.8,Mar-21,Artificial intelligence,United States,Jonathan Ross
Icertis,2.8,Feb-19,Software,India / United States,"Samir Bodas, Monish Darda."
OakNorth,2.8,Oct-16,Finance,United Kingdom,
UnionPay,2.8,Dec-21,Finance,China,
Urban Company,2.8,Oct-19,Home services,India,
Bird,2.78,Nov-19,Transportation,United States,
Convoy,2.75,Jun-21,Trucking,United States,
Illumio,2.75,May-21,Cybersecurity,United States,
MasterClass,2.75,Jun-21,Educational technology,United States,
Zipline,2.75,January†2022,Logistics,United States,
Dream Games,2.75,Aug-21,Gaming,Turkey,
Daangn Market,2.7,Aug-22,E-commerce,South Korea,
Tridge,2.7,Sep-21,Software as a service,South Korea,
Nextiva,2.7,Mar-21,Software,United States,
Tradeshift,2.7,Jul-21,Financial technology,United States,
Odoo,2.63,Oct-16,CRM,Belgium,
AmWINS Group,2.6,Jul-21,Insurance,United States,
ManoMano,2.6,Jul-21,E-commerce,France,
Pendo,2.6,Jul-21,Software,United States,
Sourcegraph,2.6,Sep-21,Developer platform,United States,
Jumpcloud,2.56,Oct-21,Software,United States,
Cato Networks,2.5,Dec-20,Cybersecurity,Israel,
eToro,2.5,Aug-21,Financial technology,Israel,"Yoni Assia, Ronen Assia, David Ring"
Infra.Market,2.5,Aug-22,Marketplace,India,"Aaditya Sharda, Souvik Sengupta"
DriveNets,2.5+,May-21,"Network operating system, Software-defined networking, Software as a service",Israel,"Ido Susan, Hillel Kobrinsky"
Lenskart,2.5,Jun-19,Retail,India,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi"
Monzo,2.5,Jun-19,Financial services,United Kingdom,
Ual√°,2.45,Nov-21,Personal finance,Argentina,
HoneyBook,2.4,Sep-21,Financial services,Israel / United States,
BitSight,2.4,Jun-21,Cybersecurity,United States,"Nagarjuna Venna, Stephen Boyer"
Exabeam,2.4,Apr-21,Cybersecurity,United States,
Paxos,2.4,Oct-14,Cryptocurrency,United States,
Mozido,2.39,Sep-15,E-commerce,United States,
Wemakeprice,2.33,Jul-24,E-commerce,South Korea,Huh Min
Headway,2.3,Feb-21,Healthcare,United States,Andrew Adams
Highspot,2.3,Sep-21,Sales,United States,
MPL,2.3,Nov-17,Mobile gaming,India,
Uptake,2.3,Jun-21,Asset performance management,United States,
Algolia,2.25,Jun-21,Software,France / United States,
KeepTruckin,2.25,Mar-20,Logistics,United States,
Via Transportation,2.25,Nov-18,Transportation,United States,
Zume,2.25,May-21,"Food packaging, Logistics",United States,"Alex Garden, Julia Collins"
Acorns,2.2,May-21,Financial technology,United States,
Bitso,2.2,Jun-21,Cryptocurrency,Mexico,
Gympass,2.2,Jun-21,Fitness,Brazil / United States,
Transmit Security,2.2,Jun-21,Cybersecurity,Israel / United States,
Addepar,2.17,Jun-21,Financial technology,United States,
Eightfold.ai,2.1+,January†2022,Artificial intelligence,United States,
PayFit,2.1,Mar-21,Software,France,"Ghislain de Fontenay, Firmin Zoccchetto, Florian Fournier"
6sense,2.1,Dec-20,Artificial intelligence,United States,
C6 Bank,2.1,Jan-21,Financial services,Brazil,
Mambu,2.1,Jun-21,Financial technology,Germany,
Moveworks,2.1,May-19,Artificial intelligence,United States,
Nextdoor,2.1,Jan-21,Social network,United States,
Webflow,2.1,Nov-21,Web development,United States,
bKash,2+,Aug-19,Mobile financial services,Bangladesh,Kamal Quadir
Babylon Health,2+,Jun-21,Healthcare,United Kingdom,
Bought By Many,2+,Aug-19,Insurance,United Kingdom,
FlixMobility,2+,Aug-19,Transportation,Germany / France,
Tipalti,2+,Aug-21,Financial technology,United States / Israel,
XtalPi,2+,Feb-24,Pharmaceuticals,China,
Figure AI,2,Apr-21,Humanoid robotics,United States,
Hive,2,Jul-21,Artificial intelligence,United States,"Kevin Guo, Dmitriy Karpman"
Mural,2,Nov-20,Technology,Argentina / United States,Patricio Jutard
AppsFlyer,2,Apr-16,Mobile marketing analytics,Israel / United States,
Beijing Weiying Technology,2,Apr-21,"E-commerce, movie ticket distributor",China,
BlaBlaCar,2,Dec-20,Transportation,France,
Calm,2,Apr-21,Digital health,United States,"Michael Acton Smith, Alex Tew"
Clearco,2,Oct-21,Financial services,Canada,
ClickHouse,2,Jun-21,Database management,United States,
Clip,2,Jan-21,Financial technology,Mexico,
Cockroach Labs,2,Apr-24,Database management,United States,
Cognition AI,2,Aug-21,Artificial intelligence,United States,"Scott Wu, Steven Hao, Walden Yan"
Divvy Homes,2,Apr-21,Real estate technology,United States,
Druva,2,Aug-22,Cloud computing,India / United States,
Exotec,2,Sep-16,Robotics,France,
Firstp2p,2,May-21,Financial services,China,
Formlabs,2,Sep-16,3D printing,United States,
Huimin.cn,2,Jun-21,B2B e-commerce,China,
Iterable,2,Apr-21,Marketing,United States,
Kry,2,Jun-16,Healthcare,Sweden,
Meicai.cn,2,Nov-21,"Agriculture, E-commerce",China,
Mynt,2,Aug-21,Financial technology,Philippines,
OPay,2,Nov-12,Financial technology,Nigeria,
Oxford Nanopore Technologies,2,Nov-21,Nanopore sequencing,United Kingdom,
Sword Health,2,Jul-17,Health,Portugal / United States [80],"Virg√≠lio Bento, M√°rcio Colunas"
Taopiaopiao,2,Feb-12,"E-commerce, movie ticket distributor",China,
Trendy International Group,2,Oct-20,"Fashion, Retail",China / Hong Kong,
Unqork,2,May-21,Software development,United States,
Zerodha,2,Jun-23,Financial technology,India,
Instabase,2,Nov-21,Software,United States,Anant Bhardwaj
Zilch,2,Feb-22,Financial technology,United Kingdom,
Akulaku,2,Aug-22,Financial technology,Indonesia,
Ankorstore,1.98,Sep-15,Marketplace,France,
